,gene_set,gene_number, random_state,epoch,train/test,loss,SmoothL1Loss,SmoothL1Loss_rank,pearson,mae,mse,rmse,spearman
2001,low_CV_rank,50,1.0,1000,Test,103.67,1031.398,126.463,0.688,1031.88,3904782.5,1976.052,0.772
4003,low_CV_rank,100,1.0,1000,Test,105.513,1063.397,129.914,0.662,1063.879,4253667.0,2062.442,0.754
6005,low_CV_rank,200,1.0,1000,Test,99.357,1022.56,127.829,0.696,1023.04,3773870.75,1942.645,0.772
8007,low_CV_rank,400,1.0,1000,Test,76.774,778.431,126.29,0.823,778.915,2006124.25,1416.377,0.857
10009,low_CV_rank,600,1.0,1000,Test,68.207,691.852,126.415,0.866,692.341,1473425.125,1213.847,0.867
12011,low_CV_rank,800,1.0,1000,Test,63.027,648.134,126.316,0.919,648.624,1005049.812,1002.522,0.903
14013,low_CV_rank,1000,1.0,1000,Test,61.854,643.626,124.568,0.93,644.114,927845.875,963.248,0.902
16015,low_CV_rank,1500,1.0,1000,Test,60.65,610.105,125.803,0.937,610.595,826412.438,909.072,0.913
18017,low_CV_rank,2000,1.0,1000,Test,62.669,621.649,126.352,0.913,622.136,1004655.0,1002.325,0.911
20019,low_CV_rank,2500,1.0,1000,Test,58.919,566.513,125.707,0.941,567.001,754247.875,868.474,0.927
22021,low_CV_rank,2900,1.0,1000,Test,62.29,658.395,126.531,0.925,658.882,979654.938,989.775,0.897
24023,low_CV_rank,50,2.0,1000,Test,88.198,923.739,128.142,0.767,924.223,2760599.0,1661.505,0.813
26025,low_CV_rank,100,2.0,1000,Test,83.735,854.573,126.35,0.787,855.054,2440820.0,1562.312,0.839
28027,low_CV_rank,200,2.0,1000,Test,90.705,930.625,128.466,0.736,931.108,3063674.75,1750.336,0.805
30029,low_CV_rank,400,2.0,1000,Test,78.798,796.654,126.622,0.788,797.143,2335482.75,1528.229,0.834
32031,low_CV_rank,600,2.0,1000,Test,69.679,715.644,127.267,0.859,716.131,1585450.625,1259.147,0.874
34033,low_CV_rank,800,2.0,1000,Test,66.151,687.452,126.591,0.903,687.94,1200103.5,1095.492,0.895
36035,low_CV_rank,1000,2.0,1000,Test,83.726,851.936,127.579,0.804,852.413,2417448.25,1554.815,0.855
38037,low_CV_rank,1500,2.0,1000,Test,60.205,597.25,126.09,0.934,597.737,817435.375,904.121,0.918
40039,low_CV_rank,2000,2.0,1000,Test,60.442,600.791,125.083,0.928,601.277,868272.062,931.811,0.918
42041,low_CV_rank,2500,2.0,1000,Test,62.303,670.294,124.002,0.923,670.781,1000410.875,1000.205,0.901
44043,low_CV_rank,2900,2.0,1000,Test,61.398,629.765,126.813,0.922,630.253,933377.0,966.114,0.909
46045,low_CV_rank,50,3.0,1000,Test,96.748,984.068,128.482,0.721,984.551,3390384.25,1841.3,0.797
48047,low_CV_rank,100,3.0,1000,Test,92.722,931.078,129.487,0.743,931.561,3048775.25,1746.074,0.817
50049,low_CV_rank,200,3.0,1000,Test,101.465,1031.377,129.323,0.667,1031.858,4027362.75,2006.829,0.74
52051,low_CV_rank,400,3.0,1000,Test,80.96,806.575,127.634,0.787,807.057,2364690.75,1537.755,0.836
54053,low_CV_rank,600,3.0,1000,Test,69.622,700.981,125.237,0.869,701.465,1493173.5,1221.955,0.883
56055,low_CV_rank,800,3.0,1000,Test,62.975,632.698,124.933,0.91,633.185,1057704.875,1028.448,0.901
58057,low_CV_rank,1000,3.0,1000,Test,61.139,618.695,125.982,0.923,619.185,942608.625,970.88,0.907
60059,low_CV_rank,1500,3.0,1000,Test,61.602,635.156,125.986,0.929,635.647,907747.125,952.758,0.906
62061,low_CV_rank,2000,3.0,1000,Test,60.619,596.725,125.473,0.932,597.213,820599.938,905.87,0.92
64063,low_CV_rank,2500,3.0,1000,Test,61.54,635.346,125.839,0.923,635.834,945321.938,972.277,0.902
66065,low_CV_rank,2900,3.0,1000,Test,61.708,657.026,126.826,0.925,657.514,980193.938,990.047,0.9
68067,low_CV_rank,50,4.0,1000,Test,118.984,1217.158,133.324,0.612,1217.639,5140910.0,2267.357,0.7
70069,low_CV_rank,100,4.0,1000,Test,98.358,1021.55,129.067,0.735,1022.031,3396762.0,1843.031,0.803
72071,low_CV_rank,200,4.0,1000,Test,90.53,906.298,127.875,0.74,906.777,3077718.75,1754.343,0.811
74073,low_CV_rank,400,4.0,1000,Test,85.995,891.709,127.911,0.742,892.192,2988203.75,1728.642,0.795
76075,low_CV_rank,600,4.0,1000,Test,100.226,1020.067,129.147,0.697,1020.546,3783344.75,1945.082,0.772
78077,low_CV_rank,800,4.0,1000,Test,63.09,662.61,126.988,0.918,663.099,1012424.75,1006.193,0.899
80079,low_CV_rank,1000,4.0,1000,Test,61.987,630.618,126.452,0.925,631.104,905747.062,951.707,0.909
82081,low_CV_rank,1500,4.0,1000,Test,61.666,646.552,125.826,0.931,647.041,944477.75,971.842,0.899
84083,low_CV_rank,2000,4.0,1000,Test,61.259,625.321,125.797,0.93,625.809,920743.688,959.554,0.905
86085,low_CV_rank,2500,4.0,1000,Test,60.973,614.414,125.613,0.925,614.903,940704.188,969.899,0.918
88087,low_CV_rank,2900,4.0,1000,Test,61.986,637.436,125.697,0.921,637.924,963278.375,981.467,0.905
90089,low_CV_rank,50,5.0,1000,Test,105.466,1082.79,131.795,0.683,1083.272,4061086.75,2015.214,0.764
92091,low_CV_rank,100,5.0,1000,Test,107.32,1109.325,131.205,0.675,1109.807,4250244.5,2061.612,0.763
94093,low_CV_rank,200,5.0,1000,Test,87.339,914.232,126.539,0.775,914.714,2742477.0,1656.043,0.826
96095,low_CV_rank,400,5.0,1000,Test,70.115,735.986,127.597,0.874,736.475,1493991.875,1222.29,0.875
98097,low_CV_rank,600,5.0,1000,Test,69.927,715.243,127.506,0.852,715.731,1615588.0,1271.058,0.862
100099,low_CV_rank,800,5.0,1000,Test,61.214,616.836,126.717,0.931,617.327,842759.938,918.02,0.909
102101,low_CV_rank,1000,5.0,1000,Test,69.61,688.196,127.114,0.852,688.683,1593310.75,1262.264,0.881
104103,low_CV_rank,1500,5.0,1000,Test,61.885,647.975,125.858,0.924,648.463,996519.062,998.258,0.906
106105,low_CV_rank,2000,5.0,1000,Test,62.909,653.135,125.302,0.918,653.621,1012250.062,1006.106,0.898
108107,low_CV_rank,2500,5.0,1000,Test,60.24,599.024,125.29,0.934,599.512,807552.938,898.639,0.914
110109,low_CV_rank,2900,5.0,1000,Test,61.35,644.254,125.115,0.927,644.743,936606.875,967.785,0.901
112111,low_CV_rank,50,6.0,1000,Test,97.765,1015.651,128.434,0.712,1016.133,3551155.5,1884.451,0.78
114113,low_CV_rank,100,6.0,1000,Test,106.101,1109.532,129.572,0.668,1110.015,4210360.5,2051.916,0.746
116115,low_CV_rank,200,6.0,1000,Test,101.35,1017.688,130.338,0.695,1018.169,3830364.0,1957.132,0.781
118117,low_CV_rank,400,6.0,1000,Test,82.728,820.322,127.383,0.774,820.804,2501901.0,1581.74,0.821
120119,low_CV_rank,600,6.0,1000,Test,70.041,702.577,128.085,0.861,703.065,1542370.875,1241.922,0.879
122121,low_CV_rank,800,6.0,1000,Test,61.631,613.246,126.945,0.924,613.733,901847.125,949.656,0.905
124123,low_CV_rank,1000,6.0,1000,Test,61.706,631.661,125.352,0.937,632.148,851194.25,922.602,0.909
126125,low_CV_rank,1500,6.0,1000,Test,61.137,630.312,124.811,0.933,630.8,894173.625,945.608,0.908
128127,low_CV_rank,2000,6.0,1000,Test,62.653,656.725,125.313,0.916,657.214,1069880.625,1034.35,0.901
130129,low_CV_rank,2500,6.0,1000,Test,59.376,573.197,125.54,0.932,573.686,784223.688,885.564,0.921
132131,low_CV_rank,2900,6.0,1000,Test,60.018,598.658,125.766,0.937,599.146,846835.688,920.237,0.913
134133,low_CV_rank,50,7.0,1000,Test,111.063,1138.899,132.204,0.655,1139.38,4501813.0,2121.748,0.73
136135,low_CV_rank,100,7.0,1000,Test,87.918,890.425,127.863,0.762,890.909,2728575.5,1651.84,0.816
138137,low_CV_rank,200,7.0,1000,Test,95.413,979.19,128.953,0.719,979.672,3315303.75,1820.798,0.779
140139,low_CV_rank,400,7.0,1000,Test,78.225,779.005,125.99,0.811,779.491,2139994.75,1462.872,0.85
142141,low_CV_rank,600,7.0,1000,Test,71.78,741.007,127.038,0.849,741.495,1668686.5,1291.776,0.86
144143,low_CV_rank,800,7.0,1000,Test,63.724,659.844,125.821,0.921,660.332,1007938.625,1003.961,0.904
146145,low_CV_rank,1000,7.0,1000,Test,60.879,614.578,125.7,0.921,615.068,921066.438,959.722,0.908
148147,low_CV_rank,1500,7.0,1000,Test,86.414,881.958,128.098,0.758,882.444,2833381.5,1683.265,0.81
150149,low_CV_rank,2000,7.0,1000,Test,59.971,590.268,127.243,0.929,590.755,804615.125,897.003,0.915
152151,low_CV_rank,2500,7.0,1000,Test,61.887,644.255,126.906,0.928,644.747,926379.375,962.486,0.907
154153,low_CV_rank,2900,7.0,1000,Test,61.715,629.147,125.505,0.926,629.636,946820.438,973.047,0.907
156155,low_CV_rank,50,8.0,1000,Test,105.065,1051.301,129.176,0.659,1051.783,4117549.5,2029.175,0.736
158157,low_CV_rank,100,8.0,1000,Test,101.829,1031.036,128.768,0.72,1031.517,3626098.0,1904.232,0.801
160159,low_CV_rank,200,8.0,1000,Test,90.982,937.606,128.268,0.757,938.089,2953395.75,1718.545,0.824
162161,low_CV_rank,400,8.0,1000,Test,91.143,911.395,128.446,0.722,911.881,3214233.5,1792.828,0.784
164163,low_CV_rank,600,8.0,1000,Test,68.526,715.863,126.554,0.878,716.354,1431477.0,1196.443,0.885
166165,low_CV_rank,800,8.0,1000,Test,61.8,641.959,126.577,0.927,642.448,930720.75,964.739,0.9
168167,low_CV_rank,1000,8.0,1000,Test,62.823,668.782,126.634,0.92,669.268,1036223.75,1017.951,0.888
170169,low_CV_rank,1500,8.0,1000,Test,60.099,592.288,126.42,0.94,592.777,735096.375,857.378,0.907
172171,low_CV_rank,2000,8.0,1000,Test,61.759,639.171,125.578,0.921,639.658,1005296.0,1002.645,0.9
174173,low_CV_rank,2500,8.0,1000,Test,60.809,625.821,125.347,0.932,626.311,896569.0,946.873,0.905
176175,low_CV_rank,2900,8.0,1000,Test,61.159,623.503,126.834,0.929,623.992,880651.688,938.43,0.9
178177,low_CV_rank,50,9.0,1000,Test,95.219,987.048,131.01,0.726,987.532,3292654.75,1814.567,0.785
180179,low_CV_rank,100,9.0,1000,Test,92.401,942.55,128.819,0.743,943.033,3085190.25,1756.471,0.799
182181,low_CV_rank,200,9.0,1000,Test,88.771,889.523,127.89,0.759,890.003,2845978.0,1687.003,0.821
184183,low_CV_rank,400,9.0,1000,Test,81.424,832.047,127.125,0.785,832.531,2503155.25,1582.136,0.822
186185,low_CV_rank,600,9.0,1000,Test,68.565,673.345,125.685,0.871,673.827,1444243.375,1201.767,0.884
188187,low_CV_rank,800,9.0,1000,Test,99.921,1035.868,129.966,0.705,1036.345,3833215.75,1957.86,0.779
190189,low_CV_rank,1000,9.0,1000,Test,61.012,612.053,126.122,0.932,612.542,868823.188,932.107,0.912
192191,low_CV_rank,1500,9.0,1000,Test,62.916,646.446,125.328,0.913,646.934,1043320.25,1021.43,0.904
194193,low_CV_rank,2000,9.0,1000,Test,63.185,673.065,126.09,0.917,673.556,1076554.25,1037.571,0.897
196195,low_CV_rank,2500,9.0,1000,Test,60.938,622.099,126.199,0.931,622.583,888955.688,942.844,0.909
198197,low_CV_rank,2900,9.0,1000,Test,60.957,630.574,126.83,0.93,631.059,902835.875,950.177,0.904
200199,low_CV_rank,50,10.0,1000,Test,109.365,1115.898,132.626,0.662,1116.38,4327565.5,2080.28,0.743
202201,low_CV_rank,100,10.0,1000,Test,100.63,1022.653,126.955,0.701,1023.136,3625696.75,1904.126,0.776
204203,low_CV_rank,200,10.0,1000,Test,98.466,1005.566,128.071,0.688,1006.048,3777572.75,1943.598,0.774
206205,low_CV_rank,400,10.0,1000,Test,79.487,835.015,127.461,0.796,835.502,2393288.25,1547.026,0.835
208207,low_CV_rank,600,10.0,1000,Test,66.31,707.539,126.332,0.902,708.026,1268656.25,1126.346,0.887
210209,low_CV_rank,800,10.0,1000,Test,62.311,623.009,125.57,0.921,623.498,967665.75,983.7,0.907
212211,low_CV_rank,1000,10.0,1000,Test,64.595,671.774,125.659,0.906,672.262,1153133.125,1073.84,0.896
214213,low_CV_rank,1500,10.0,1000,Test,61.217,631.767,126.088,0.932,632.254,902262.125,949.875,0.909
216215,low_CV_rank,2000,10.0,1000,Test,60.92,623.422,125.367,0.93,623.909,894287.75,945.668,0.913
218217,low_CV_rank,2500,10.0,1000,Test,60.387,612.68,126.062,0.934,613.166,899436.25,948.386,0.91
220219,low_CV_rank,2900,10.0,1000,Test,61.898,599.886,125.836,0.917,600.372,940767.688,969.932,0.913
222221,high_corr,50,1.0,1000,Test,90.621,950.699,128.395,0.753,951.181,2947481.0,1716.823,0.806
224223,high_corr,100,1.0,1000,Test,80.027,822.634,125.316,0.814,823.115,2150526.0,1466.467,0.852
226225,high_corr,200,1.0,1000,Test,85.197,885.274,126.871,0.772,885.754,2646332.75,1626.755,0.818
228227,high_corr,400,1.0,1000,Test,87.22,897.419,126.784,0.737,897.899,3038024.25,1742.993,0.796
230229,high_corr,600,1.0,1000,Test,70.058,690.22,125.816,0.854,690.708,1620793.375,1273.104,0.874
232231,high_corr,800,1.0,1000,Test,61.659,612.852,125.446,0.926,613.339,934986.5,966.947,0.914
234233,high_corr,1000,1.0,1000,Test,63.404,633.54,125.723,0.908,634.025,1152984.875,1073.771,0.897
236235,high_corr,1500,1.0,1000,Test,59.898,619.675,125.699,0.936,620.164,883841.312,940.128,0.905
238237,high_corr,2000,1.0,1000,Test,60.975,614.751,125.355,0.925,615.241,936732.375,967.849,0.908
240239,high_corr,2500,1.0,1000,Test,61.041,637.615,125.505,0.925,638.099,982942.562,991.435,0.904
242241,high_corr,2900,1.0,1000,Test,57.578,555.665,126.512,0.948,556.15,690419.312,830.915,0.93
244243,high_corr,50,2.0,1000,Test,82.909,819.626,128.681,0.779,820.109,2392449.25,1546.754,0.826
246245,high_corr,100,2.0,1000,Test,90.032,932.516,129.092,0.729,932.998,3197867.25,1788.258,0.792
248247,high_corr,200,2.0,1000,Test,76.517,778.224,125.951,0.813,778.706,2105016.75,1450.868,0.85
250249,high_corr,400,2.0,1000,Test,77.51,802.196,126.572,0.812,802.679,2166386.5,1471.865,0.847
252251,high_corr,600,2.0,1000,Test,77.125,759.812,126.855,0.808,760.295,2163808.75,1470.989,0.854
254253,high_corr,800,2.0,1000,Test,69.077,702.968,125.852,0.868,703.455,1534217.0,1238.635,0.885
256255,high_corr,1000,2.0,1000,Test,66.952,673.461,126.299,0.868,673.952,1473153.125,1213.735,0.879
258257,high_corr,1500,2.0,1000,Test,60.119,627.888,126.244,0.935,628.375,903600.125,950.579,0.905
260259,high_corr,2000,2.0,1000,Test,59.17,571.447,125.346,0.933,571.935,786422.75,886.805,0.922
262261,high_corr,2500,2.0,1000,Test,60.017,633.895,125.833,0.932,634.382,892791.312,944.876,0.905
264263,high_corr,2900,2.0,1000,Test,59.545,608.905,125.789,0.928,609.391,930499.562,964.624,0.912
266265,high_corr,50,3.0,1000,Test,84.559,843.937,127.455,0.779,844.42,2479393.0,1574.609,0.827
268267,high_corr,100,3.0,1000,Test,74.44,757.889,127.02,0.825,758.372,1908726.0,1381.567,0.853
270269,high_corr,200,3.0,1000,Test,73.732,744.072,127.834,0.845,744.553,1759818.625,1326.582,0.866
272271,high_corr,400,3.0,1000,Test,78.07,790.291,126.518,0.809,790.771,2172682.0,1474.002,0.848
274273,high_corr,600,3.0,1000,Test,63.63,637.4,124.621,0.906,637.881,1097965.875,1047.839,0.897
276275,high_corr,800,3.0,1000,Test,64.804,670.166,125.26,0.894,670.655,1276774.75,1129.945,0.879
278277,high_corr,1000,3.0,1000,Test,62.206,599.519,125.077,0.907,600.007,1046493.375,1022.983,0.9
280279,high_corr,1500,3.0,1000,Test,58.992,595.6,124.834,0.94,596.087,833107.125,912.747,0.919
282281,high_corr,2000,3.0,1000,Test,59.874,612.74,125.389,0.939,613.224,810947.375,900.526,0.913
284283,high_corr,2500,3.0,1000,Test,58.853,594.477,125.37,0.943,594.962,758986.062,871.198,0.916
286285,high_corr,2900,3.0,1000,Test,58.485,585.803,124.84,0.946,586.29,750071.75,866.067,0.917
288287,high_corr,50,4.0,1000,Test,73.188,760.761,127.026,0.868,761.243,1571443.75,1253.572,0.864
290289,high_corr,100,4.0,1000,Test,76.958,817.986,127.008,0.828,818.467,2023832.375,1422.615,0.844
292291,high_corr,200,4.0,1000,Test,90.81,918.647,127.591,0.743,919.128,3033971.0,1741.83,0.805
294293,high_corr,400,4.0,1000,Test,74.393,768.91,127.729,0.84,769.39,1912382.125,1382.889,0.866
296295,high_corr,600,4.0,1000,Test,69.425,717.014,125.877,0.856,717.497,1659365.875,1288.164,0.867
298297,high_corr,800,4.0,1000,Test,66.091,679.418,126.166,0.889,679.907,1317113.375,1147.656,0.888
300299,high_corr,1000,4.0,1000,Test,60.747,620.022,126.182,0.921,620.506,962414.688,981.027,0.904
302301,high_corr,1500,4.0,1000,Test,59.639,619.387,126.215,0.93,619.875,930200.25,964.469,0.909
304303,high_corr,2000,4.0,1000,Test,61.068,632.842,126.994,0.921,633.332,1035055.688,1017.377,0.905
306305,high_corr,2500,4.0,1000,Test,58.861,596.681,125.518,0.94,597.168,817051.188,903.909,0.916
308307,high_corr,2900,4.0,1000,Test,59.725,621.877,125.112,0.932,622.364,906674.25,952.194,0.904
310309,high_corr,50,5.0,1000,Test,80.528,830.659,127.762,0.799,831.141,2242421.5,1497.472,0.824
312311,high_corr,100,5.0,1000,Test,82.768,805.074,126.282,0.811,805.557,2214089.75,1487.982,0.873
314313,high_corr,200,5.0,1000,Test,76.819,785.496,125.425,0.818,785.976,2073058.75,1439.812,0.851
316315,high_corr,400,5.0,1000,Test,80.578,841.444,129.081,0.786,841.924,2548440.5,1596.384,0.833
318317,high_corr,600,5.0,1000,Test,66.67,665.054,125.67,0.874,665.535,1391264.0,1179.519,0.89
320319,high_corr,800,5.0,1000,Test,68.884,700.713,126.739,0.847,701.203,1693432.25,1301.319,0.868
322321,high_corr,1000,5.0,1000,Test,63.695,631.582,125.887,0.904,632.076,1101523.375,1049.535,0.9
324323,high_corr,1500,5.0,1000,Test,58.552,571.381,124.381,0.941,571.873,774218.75,879.897,0.926
326325,high_corr,2000,5.0,1000,Test,58.141,573.514,125.03,0.946,574.004,766622.812,875.57,0.927
328327,high_corr,2500,5.0,1000,Test,59.411,619.319,126.046,0.928,619.807,953421.938,976.433,0.912
330329,high_corr,2900,5.0,1000,Test,61.682,663.582,124.63,0.929,664.067,1010565.688,1005.269,0.898
332331,high_corr,50,6.0,1000,Test,75.839,768.35,126.29,0.838,768.833,1787482.75,1336.968,0.855
334333,high_corr,100,6.0,1000,Test,87.704,900.834,127.669,0.775,901.315,2711125.5,1646.55,0.828
336335,high_corr,200,6.0,1000,Test,77.597,792.268,126.209,0.821,792.748,2029605.25,1424.642,0.863
338337,high_corr,400,6.0,1000,Test,82.249,838.013,126.597,0.786,838.494,2546582.75,1595.802,0.847
340339,high_corr,600,6.0,1000,Test,70.998,730.776,125.408,0.848,731.265,1703342.375,1305.122,0.869
342341,high_corr,800,6.0,1000,Test,67.191,675.369,126.46,0.875,675.852,1400435.875,1183.4,0.881
344343,high_corr,1000,6.0,1000,Test,63.023,627.126,125.93,0.905,627.608,1125031.875,1060.675,0.906
346345,high_corr,1500,6.0,1000,Test,58.848,592.418,125.588,0.938,592.907,868125.312,931.732,0.918
348347,high_corr,2000,6.0,1000,Test,61.644,637.878,125.35,0.918,638.368,1018598.812,1009.257,0.907
350349,high_corr,2500,6.0,1000,Test,58.269,576.602,124.281,0.939,577.094,770794.688,877.949,0.923
352351,high_corr,2900,6.0,1000,Test,59.87,615.95,126.288,0.933,616.438,881978.438,939.137,0.91
354353,high_corr,50,7.0,1000,Test,84.632,885.996,127.306,0.777,886.479,2586911.25,1608.388,0.826
356355,high_corr,100,7.0,1000,Test,94.057,979.432,128.383,0.72,979.913,3424217.5,1850.464,0.783
358357,high_corr,200,7.0,1000,Test,83.611,868.115,128.354,0.78,868.596,2560588.0,1600.184,0.825
360359,high_corr,400,7.0,1000,Test,82.879,848.555,127.479,0.798,849.034,2423926.5,1556.896,0.844
362361,high_corr,600,7.0,1000,Test,64.059,640.766,125.493,0.907,641.248,1114430.125,1055.666,0.898
364363,high_corr,800,7.0,1000,Test,64.505,653.455,125.637,0.886,653.938,1267258.0,1125.726,0.884
366365,high_corr,1000,7.0,1000,Test,59.517,594.391,125.289,0.936,594.874,845792.0,919.669,0.916
368367,high_corr,1500,7.0,1000,Test,60.548,622.588,125.247,0.922,623.077,1036160.75,1017.92,0.911
370369,high_corr,2000,7.0,1000,Test,60.422,602.771,126.535,0.926,603.262,909175.312,953.507,0.914
372371,high_corr,2500,7.0,1000,Test,59.889,611.276,124.545,0.938,611.765,870541.125,933.028,0.916
374373,high_corr,2900,7.0,1000,Test,58.779,586.067,125.049,0.936,586.555,818418.438,904.665,0.92
376375,high_corr,50,8.0,1000,Test,80.265,833.529,126.562,0.796,834.01,2308767.0,1519.463,0.824
378377,high_corr,100,8.0,1000,Test,78.749,775.325,127.149,0.79,775.807,2269732.5,1506.563,0.843
380379,high_corr,200,8.0,1000,Test,79.641,807.843,125.315,0.81,808.323,2193567.75,1481.07,0.858
382381,high_corr,400,8.0,1000,Test,78.069,797.671,127.062,0.829,798.15,2077061.0,1441.201,0.873
384383,high_corr,600,8.0,1000,Test,69.89,732.424,126.592,0.852,732.905,1722478.125,1312.432,0.87
386385,high_corr,800,8.0,1000,Test,64.686,660.212,125.736,0.901,660.698,1223422.25,1106.084,0.884
388387,high_corr,1000,8.0,1000,Test,64.953,674.661,126.555,0.897,675.145,1264747.125,1124.61,0.886
390389,high_corr,1500,8.0,1000,Test,59.563,613.616,125.822,0.932,614.104,910368.312,954.132,0.91
